,mse,quantizer,quants,q_range,bin_size,modulo_size
1,0.989176728237,[0.0],1,0.0,,
1997,0.98994470331,"[-0.030833333333333348, 0.030833333333333348]",2,0.0616666666667,0.0616666666667,0.123333333333
5252,0.73814863983,"[-1.6400000000000015, 0.0, 1.6400000000000015]",3,3.28,1.64,4.92
7262,0.415543261208,"[-2.0130000000000017, -0.6710000000000007, 0.6710000000000003, 2.0130000000000017]",4,4.026,1.342,5.368
9324,0.270658887317,"[-2.3733333333333353, -1.1866666666666676, 0.0, 1.1866666666666679, 2.3733333333333353]",5,4.74666666667,1.18666666667,5.93333333333
11283,0.183364019546,"[-2.505357142857145, -1.503214285714287, -0.5010714285714291, 0.5010714285714286, 1.5032142857142867, 2.505357142857145]",6,5.01071428571,1.00214285714,6.01285714286
13322,0.134890256645,"[-2.741250000000002, -1.8275000000000015, -0.9137500000000007, 0.0, 0.9137500000000007, 1.827500000000001, 2.741250000000002]",7,5.4825,0.91375,6.39625
15350,0.10018740305,"[-2.9361111111111136, -2.097222222222224, -1.2583333333333344, -0.41944444444444473, 0.41944444444444473, 1.2583333333333346, 2.097222222222224, 2.9361111111111136]",8,5.87222222222,0.838888888889,6.71111111111
17333,0.0809356658486,"[-3.0260000000000025, -2.2695000000000016, -1.5130000000000012, -0.7565000000000008, 0.0, 0.7565000000000008, 1.5130000000000008, 2.2695000000000016, 3.0260000000000025]",9,6.052,0.7565,6.8085
19253,0.0640786738205,"[-2.972045454545457, -2.311590909090911, -1.651136363636365, -0.9906818181818191, -0.33022727272727304, 0.33022727272727304, 0.9906818181818187, 1.6511363636363647, 2.311590909090911, 2.972045454545457]",10,5.94409090909,0.660454545455,6.60454545455
21300,0.0517133701232,"[-3.166666666666669, -2.5333333333333354, -1.9000000000000015, -1.2666666666666675, -0.6333333333333337, 0.0, 0.6333333333333342, 1.266666666666668, 1.9000000000000017, 2.5333333333333354, 3.166666666666669]",11,6.33333333333,0.633333333333,6.96666666667
23251,0.0440397670703,"[-3.1540384615384642, -2.5805769230769253, -2.0071153846153864, -1.4336538461538475, -0.8601923076923086, -0.2867307692307697, 0.28673076923076923, 0.8601923076923086, 1.433653846153847, 2.0071153846153855, 2.580576923076925, 3.1540384615384642]",12,6.30807692308,0.573461538462,6.88153846154
25238,0.0364533231153,"[-3.2100000000000026, -2.675000000000002, -2.1400000000000015, -1.6050000000000013, -1.0700000000000007, -0.5350000000000001, 0.0, 0.5350000000000006, 1.0700000000000012, 1.6050000000000013, 2.1400000000000023, 2.6750000000000025, 3.2100000000000026]",13,6.42,0.535,6.955
27252,0.0312705442727,"[-3.319333333333336, -2.808666666666669, -2.298000000000002, -1.7873333333333348, -1.2766666666666677, -0.7660000000000005, -0.25533333333333363, 0.2553333333333332, 0.7660000000000005, 1.2766666666666677, 1.787333333333335, 2.2980000000000014, 2.8086666666666686, 3.319333333333336]",14,6.63866666667,0.510666666667,7.14933333333
29243,0.0275799573952,"[-3.375312500000003, -2.8931250000000026, -2.410937500000002, -1.9287500000000017, -1.4465625000000013, -0.9643750000000009, -0.48218750000000066, 0.0, 0.4821875000000002, 0.9643750000000009, 1.446562500000001, 1.9287500000000013, 2.4109375000000015, 2.8931250000000017, 3.375312500000003]",15,6.750625,0.4821875,7.2328125
31220,0.0241764874582,"[-3.397058823529415, -2.9441176470588264, -2.4911764705882375, -2.0382352941176487, -1.5852941176470603, -1.132352941176472, -0.679411764705883, -0.2264705882352942, 0.2264705882352942, 0.6794117647058826, 1.132352941176471, 1.5852941176470603, 2.0382352941176487, 2.491176470588237, 2.9441176470588264, 3.397058823529415]",16,6.79411764706,0.452941176471,7.24705882353
33223,0.0207578470148,"[-3.4733333333333363, -3.0391666666666692, -2.605000000000002, -2.170833333333335, -1.7366666666666681, -1.302500000000001, -0.8683333333333341, -0.43416666666666703, 0.0, 0.43416666666666703, 0.8683333333333341, 1.302500000000001, 1.7366666666666681, 2.170833333333335, 2.605000000000002, 3.0391666666666692, 3.4733333333333363]",17,6.94666666667,0.434166666667,7.38083333333
35218,0.0189421913323,"[-3.529736842105266, -3.114473684210529, -2.6992105263157917, -2.2839473684210545, -1.8686842105263173, -1.45342105263158, -1.0381578947368428, -0.6228947368421056, -0.2076315789473684, 0.20763157894736883, 0.6228947368421061, 1.0381578947368437, 1.4534210526315805, 1.8686842105263173, 2.283947368421055, 2.6992105263157926, 3.1144736842105294, 3.529736842105266]",18,7.05947368421,0.415263157895,7.47473684211
37177,0.0161988176285,"[-3.503250000000003, -3.1140000000000025, -2.7247500000000024, -2.3355000000000024, -1.9462500000000018, -1.5570000000000015, -1.1677500000000012, -0.7785000000000011, -0.38925000000000054, 0.0, 0.3892500000000001, 0.7785000000000002, 1.1677500000000007, 1.5570000000000013, 1.946250000000001, 2.3355000000000015, 2.724750000000002, 3.1140000000000025, 3.503250000000003]",19,7.0065,0.38925,7.39575
39118,0.0139574479917,"[-3.4335714285714314, -3.0721428571428597, -2.710714285714288, -2.349285714285716, -1.9878571428571445, -1.626428571428573, -1.265000000000001, -0.9035714285714294, -0.5421428571428577, -0.18071428571428605, 0.1807142857142856, 0.5421428571428573, 0.9035714285714294, 1.2650000000000006, 1.6264285714285727, 1.9878571428571439, 2.349285714285716, 2.710714285714288, 3.0721428571428593, 3.4335714285714314]",20,6.86714285714,0.361428571429,7.22857142857
41200,0.014201482643,"[-3.681818181818185, -3.3136363636363666, -2.945454545454548, -2.57727272727273, -2.209090909090911, -1.8409090909090926, -1.4727272727272744, -1.1045454545454558, -0.7363636363636372, -0.3681818181818186, 0.0, 0.36818181818181817, 0.7363636363636363, 1.1045454545454554, 1.4727272727272736, 1.8409090909090926, 2.2090909090909108, 2.577272727272729, 2.945454545454548, 3.313636363636366, 3.681818181818185]",21,7.36363636364,0.368181818182,7.73181818182
43145,0.0123350385249,"[-3.6179347826086987, -3.273369565217394, -2.9288043478260892, -2.584239130434785, -2.23967391304348, -1.8951086956521754, -1.5505434782608711, -1.2059782608695664, -0.8614130434782616, -0.5168478260869569, -0.17228260869565215, 0.17228260869565215, 0.5168478260869565, 0.8614130434782616, 1.205978260869566, 1.5505434782608711, 1.8951086956521754, 2.2396739130434797, 2.584239130434785, 2.9288043478260892, 3.2733695652173944, 3.6179347826086987]",22,7.23586956522,0.344565217391,7.58043478261
45108,0.0109166543704,"[-3.5933333333333364, -3.2666666666666693, -2.9400000000000026, -2.6133333333333355, -2.286666666666669, -1.9600000000000017, -1.6333333333333346, -1.306666666666668, -0.9800000000000009, -0.6533333333333338, -0.3266666666666671, 0.0, 0.3266666666666671, 0.6533333333333342, 0.9800000000000004, 1.3066666666666675, 1.6333333333333346, 1.9600000000000017, 2.286666666666669, 2.613333333333335, 2.940000000000002, 3.2666666666666693, 3.5933333333333364]",23,7.18666666667,0.326666666667,7.51333333333
47112,0.0102311458505,"[-3.6616000000000026, -3.343200000000002, -3.024800000000002, -2.706400000000002, -2.3880000000000017, -2.069600000000001, -1.7512000000000012, -1.4328000000000012, -1.1144000000000007, -0.7960000000000003, -0.47760000000000025, -0.15920000000000023, 0.15920000000000023, 0.4776000000000007, 0.7960000000000003, 1.1144000000000007, 1.4328000000000012, 1.7512000000000016, 2.069600000000002, 2.3880000000000017, 2.706400000000002, 3.0248000000000026, 3.343200000000002, 3.6616000000000026]",24,7.3232,0.3184,7.6416
49096,0.0094493219687,"[-3.6830769230769262, -3.376153846153849, -3.0692307692307716, -2.7623076923076946, -2.4553846153846175, -2.1484615384615404, -1.8415384615384631, -1.5346153846153858, -1.2276923076923087, -0.9207692307692317, -0.6138461538461546, -0.3069230769230771, 0.0, 0.3069230769230771, 0.6138461538461546, 0.9207692307692317, 1.2276923076923087, 1.5346153846153858, 1.841538461538463, 2.14846153846154, 2.455384615384617, 2.762307692307695, 3.069230769230772, 3.376153846153849, 3.6830769230769262]",25,7.36615384615,0.306923076923,7.67307692308
51022,0.00825371811631,"[-3.5694444444444473, -3.2838888888888915, -2.9983333333333357, -2.71277777777778, -2.427222222222224, -2.1416666666666684, -1.8561111111111126, -1.5705555555555568, -1.285000000000001, -0.9994444444444452, -0.7138888888888895, -0.4283333333333337, -0.1427777777777779, 0.1427777777777779, 0.4283333333333337, 0.7138888888888895, 0.9994444444444452, 1.285000000000001, 1.5705555555555568, 1.8561111111111126, 2.1416666666666684, 2.427222222222224, 2.71277777777778, 2.9983333333333357, 3.2838888888888915, 3.5694444444444473]",26,7.13888888889,0.285555555556,7.42444444444
53050,0.00803372212913,"[-3.6910714285714312, -3.4071428571428597, -3.1232142857142877, -2.839285714285716, -2.5553571428571447, -2.271428571428573, -1.9875000000000014, -1.7035714285714296, -1.419642857142858, -1.1357142857142866, -0.851785714285715, -0.5678571428571431, -0.28392857142857153, 0.0, 0.283928571428572, 0.5678571428571435, 0.851785714285715, 1.1357142857142866, 1.419642857142858, 1.7035714285714296, 1.9875000000000012, 2.2714285714285736, 2.555357142857145, 2.8392857142857166, 3.123214285714288, 3.4071428571428597, 3.6910714285714312]",27,7.38214285714,0.283928571429,7.66607142857
55049,0.00758435795372,"[-3.7450862068965547, -3.4676724137931063, -3.190258620689658, -2.912844827586209, -2.6354310344827607, -2.3580172413793123, -2.0806034482758635, -1.8031896551724151, -1.5257758620689668, -1.2483620689655184, -0.97094827586207, -0.6935344827586212, -0.4161206896551728, -0.1387068965517244, 0.1387068965517244, 0.41612068965517235, 0.6935344827586212, 0.97094827586207, 1.248362068965518, 1.5257758620689668, 1.8031896551724147, 2.0806034482758635, 2.3580172413793123, 2.6354310344827603, 2.912844827586209, 3.190258620689658, 3.467672413793106, 3.7450862068965547]",28,7.49017241379,0.277413793103,7.7675862069
57015,0.00697238346467,"[-3.7216666666666693, -3.4558333333333358, -3.190000000000002, -2.924166666666669, -2.658333333333335, -2.392500000000002, -2.1266666666666683, -1.8608333333333347, -1.595000000000001, -1.3291666666666675, -1.063333333333334, -0.7975000000000003, -0.5316666666666672, -0.2658333333333336, 0.0, 0.2658333333333336, 0.5316666666666672, 0.7975000000000003, 1.0633333333333344, 1.3291666666666675, 1.5950000000000015, 1.8608333333333347, 2.1266666666666687, 2.392500000000002, 2.658333333333335, 2.924166666666669, 3.190000000000002, 3.455833333333336, 3.7216666666666693]",29,7.44333333333,0.265833333333,7.70916666667
59011,0.00659060843533,"[-3.7676612903225837, -3.507822580645164, -3.2479838709677447, -2.988145161290325, -2.728306451612905, -2.468467741935486, -2.208629032258066, -1.9487903225806467, -1.6889516129032272, -1.4291129032258074, -1.1692741935483881, -0.9094354838709684, -0.6495967741935487, -0.3897580645161294, -0.12991935483870964, 0.12991935483870964, 0.3897580645161294, 0.6495967741935487, 0.9094354838709688, 1.1692741935483881, 1.4291129032258074, 1.6889516129032276, 1.9487903225806469, 2.208629032258066, 2.4684677419354863, 2.7283064516129056, 2.988145161290325, 3.247983870967744, 3.5078225806451644, 3.7676612903225837]",30,7.53532258065,0.259838709677,7.79516129032
60952,0.00592980004683,"[-3.684375000000003, -3.4387500000000024, -3.1931250000000024, -2.9475000000000025, -2.701875000000002, -2.4562500000000016, -2.2106250000000016, -1.9650000000000014, -1.7193750000000012, -1.4737500000000008, -1.2281250000000008, -0.9825000000000008, -0.7368750000000004, -0.49124999999999996, -0.24562499999999998, 0.0, 0.24562500000000043, 0.49125000000000085, 0.7368750000000013, 0.9825000000000008, 1.2281250000000012, 1.4737500000000017, 1.7193750000000012, 1.9650000000000016, 2.210625000000002, 2.4562500000000025, 2.701875000000003, 2.9475000000000025, 3.193125000000003, 3.4387500000000033, 3.684375000000003]",31,7.36875,0.245625,7.614375
62918,0.0054047599943,"[-3.658939393939397, -3.4228787878787905, -3.186818181818184, -2.950757575757578, -2.7146969696969716, -2.4786363636363653, -2.2425757575757594, -2.006515151515153, -1.7704545454545468, -1.5343939393939405, -1.2983333333333342, -1.062272727272728, -0.8262121212121221, -0.5901515151515158, -0.35409090909090946, -0.11803030303030315, 0.11803030303030315, 0.35409090909090946, 0.5901515151515158, 0.8262121212121221, 1.0622727272727284, 1.2983333333333347, 1.534393939393941, 1.7704545454545473, 2.0065151515151527, 2.242575757575759, 2.4786363636363653, 2.7146969696969716, 2.950757575757578, 3.186818181818184, 3.4228787878787905, 3.658939393939397]",32,7.31787878788,0.236060606061,7.55393939394
64943,0.00539885457403,"[-3.7717647058823567, -3.5360294117647095, -3.300294117647062, -3.0645588235294148, -2.8288235294117676, -2.59308823529412, -2.357352941176473, -2.1216176470588257, -1.8858823529411783, -1.650147058823531, -1.4144117647058838, -1.1786764705882367, -0.9429411764705891, -0.7072058823529419, -0.47147058823529475, -0.23573529411764715, 0.0, 0.23573529411764715, 0.47147058823529475, 0.7072058823529415, 0.9429411764705891, 1.1786764705882367, 1.4144117647058834, 1.650147058823531, 1.8858823529411786, 2.1216176470588253, 2.357352941176473, 2.5930882352941205, 2.828823529411767, 3.0645588235294148, 3.3002941176470624, 3.536029411764709, 3.7717647058823567]",33,7.54352941176,0.235735294118,7.77926470588
66845,0.00457340498634,"[-3.59464285714286, -3.376785714285717, -3.158928571428574, -2.941071428571431, -2.7232142857142883, -2.505357142857145, -2.287500000000002, -2.069642857142859, -1.851785714285716, -1.633928571428573, -1.41607142857143, -1.198214285714287, -0.9803571428571436, -0.7625000000000006, -0.5446428571428577, -0.3267857142857147, -0.10892857142857171, 0.10892857142857126, 0.32678571428571423, 0.5446428571428577, 0.7625000000000002, 0.9803571428571436, 1.1982142857142861, 1.4160714285714295, 1.633928571428573, 1.8517857142857155, 2.069642857142859, 2.2875000000000014, 2.505357142857145, 2.7232142857142874, 2.941071428571431, 3.1589285714285733, 3.3767857142857167, 3.59464285714286]",34,7.18928571429,0.217857142857,7.40714285714
68899,0.0047664439782,"[-3.7754166666666698, -3.5533333333333363, -3.3312500000000025, -3.109166666666669, -2.8870833333333357, -2.6650000000000023, -2.442916666666669, -2.220833333333335, -1.9987500000000016, -1.7766666666666682, -1.5545833333333348, -1.332500000000001, -1.1104166666666675, -0.8883333333333341, -0.6662500000000002, -0.4441666666666668, -0.2220833333333334, 0.0, 0.2220833333333334, 0.44416666666666726, 0.6662500000000002, 0.8883333333333341, 1.110416666666668, 1.332500000000001, 1.5545833333333348, 1.7766666666666686, 1.9987500000000016, 2.2208333333333354, 2.4429166666666693, 2.6650000000000023, 2.887083333333336, 3.109166666666669, 3.331250000000003, 3.553333333333337, 3.7754166666666698]",35,7.55083333333,0.222083333333,7.77291666667
70857,0.00438692685941,"[-3.729391891891895, -3.516283783783787, -3.3031756756756785, -3.09006756756757, -2.876959459459462, -2.6638513513513535, -2.450743243243245, -2.237635135135137, -2.0245270270270286, -1.8114189189189205, -1.5983108108108124, -1.385202702702704, -1.1720945945945958, -0.9589864864864874, -0.7458783783783791, -0.5327702702702708, -0.3196621621621625, -0.10655405405405416, 0.10655405405405416, 0.31966216216216203, 0.5327702702702704, 0.7458783783783787, 0.958986486486487, 1.1720945945945953, 1.3852027027027036, 1.598310810810812, 1.8114189189189203, 2.0245270270270286, 2.237635135135137, 2.450743243243245, 2.6638513513513535, 2.876959459459462, 3.09006756756757, 3.3031756756756785, 3.516283783783787, 3.729391891891895]",36,7.45878378378,0.213108108108,7.67189189189
72885,0.0043565157227,"[-3.8486842105263195, -3.634868421052635, -3.4210526315789505, -3.2072368421052664, -2.993421052631582, -2.7796052631578974, -2.5657894736842133, -2.3519736842105288, -2.1381578947368443, -1.9243421052631597, -1.7105263157894752, -1.4967105263157912, -1.2828947368421066, -1.0690789473684221, -0.8552631578947381, -0.6414473684210535, -0.42763157894736903, -0.21381578947368451, 0.0, 0.21381578947368407, 0.42763157894736903, 0.6414473684210531, 0.8552631578947372, 1.0690789473684221, 1.2828947368421062, 1.4967105263157903, 1.7105263157894752, 1.9243421052631593, 2.1381578947368434, 2.3519736842105283, 2.5657894736842124, 2.7796052631578974, 2.9934210526315814, 3.2072368421052655, 3.4210526315789505, 3.6348684210526345, 3.8486842105263195]",37,7.69736842105,0.213815789474,7.91118421053
74819,0.00395637499383,"[-3.7450641025641054, -3.542628205128208, -3.3401923076923103, -3.1377564102564124, -2.935320512820515, -2.7328846153846174, -2.53044871794872, -2.3280128205128223, -2.125576923076925, -1.923141025641027, -1.7207051282051293, -1.5182692307692318, -1.3158333333333343, -1.1133974358974368, -0.9109615384615388, -0.7085256410256413, -0.5060897435897438, -0.3036538461538463, -0.10121794871794876, 0.1012179487179492, 0.3036538461538467, 0.5060897435897442, 0.7085256410256418, 0.9109615384615393, 1.1133974358974368, 1.3158333333333343, 1.5182692307692318, 1.7207051282051302, 1.9231410256410277, 2.1255769230769253, 2.3280128205128228, 2.5304487179487203, 2.732884615384618, 2.9353205128205153, 3.137756410256413, 3.3401923076923103, 3.542628205128208, 3.7450641025641054]",38,7.49012820513,0.202435897436,7.69256410256
76724,0.00340006862752,"[-3.572000000000003, -3.384000000000003, -3.196000000000003, -3.0080000000000027, -2.8200000000000025, -2.6320000000000023, -2.444000000000002, -2.256000000000002, -2.068000000000002, -1.8800000000000017, -1.6920000000000015, -1.5040000000000013, -1.3160000000000012, -1.128000000000001, -0.9400000000000008, -0.7520000000000007, -0.5640000000000005, -0.37600000000000033, -0.18800000000000017, 0.0, 0.18800000000000017, 0.37600000000000033, 0.5640000000000005, 0.7520000000000002, 0.9400000000000008, 1.1280000000000014, 1.3160000000000012, 1.504000000000001, 1.6920000000000015, 1.8800000000000021, 2.068000000000002, 2.2560000000000016, 2.444000000000002, 2.632000000000003, 2.8200000000000025, 3.0080000000000022, 3.196000000000003, 3.3840000000000034, 3.572000000000003]",39,7.144,0.188,7.332
